"cayley_0"	"cayley_1"	"cayley_2"	"cayley_3"	"cayley_4"	"cayley_5"	"cayley_6"	"cayley_7"
2033	2498	13404	8447	6374.5	2589	4123.5	1394
2036	2496.5	13403	8449	6379	2587	4125	1396
2036	2494	13402.5	8448	6376	2589	4123	1396
2026.5	2497.5	13403	8434.5	6374.5	2588	4115	1388
2040	2501	13403.5	8449	6379.5	2592	4125	1396
2028	2494	13404	8435	6376	2590	4112	1394
2024	2494	13404	8440	6376	2588	4117	1387
2032	2497	13402	8436	6373	2587	4113	1385
2026	2491	13404	8432.5	6373	2588.5	4114.5	1384.5
2028	2497	13405	8434	6370	2590	4117	1379
2032	2494	13403	8434	6375	2587	4113	1391
2028	2492	13400	8434	6372	2588	4112	1384
2029	2498	13403	8433	6370	2590	4112	1384
2033	2496	13403	8433	6370	2591	4114	1384
2031	2495	13404	8438	6375	2588	4110	1384
2039	2494	13403	8447	6376	2588	4123	1394
2030	2495	13404	8441	6375	2589	4117	1392
2029	2494	13405	8438	6374	2586	4111	1386
2036	2494	13404	8448	6373	2588	4124	1395
2029	2495	13403	8435	6375	2587	4115	1385
2030	2495	13404	8447	6372	2589	4123	1387
2028	2492	13403	8434	6375	2590	4110	1394
2030	2497	13403	8444	6377	2588	4114	1395
2026	2499	13401	8437	6374	2588	4113	1386
2033	2501	13405	8449	6375	2588	4124	1394
2029	2497	13404	8435	6374	2589	4113	1382
2028	2497	13401	8435	6375	2589	4114	1386
2025	2495	13403	8431	6375	2588	4112	1386
2023	2496	13402	8429	6374	2585	4113	1382
2032	2493	13401.5	8441.5	6377	2588.5	4115	1386.5
2030.5	2496	13404	8433	6375	2585.5	4114.5	1381
2029	2494	13403	8435	6375	2590	4109	1385
2030	2496	13404	8439	6375	2589	4114	1389
2030	2499	13403	8433	6374	2590	4113	1383
2031	2496.5	13404	8430.5	6374.5	2591.5	4113.5	1388
2030	2493	13403.5	8445.5	6375	2587	4121	1397.5
2025	2499	13402	8438	6374	2589	4115	1389
2032	2494	13404	8445	6375.5	2590	4119.5	1392
2025	2494	13404	8433	6376	2591	4111	1385
2028	2494	13401	8429	6370	2586	4111	1379
2036	2501	13404	8448	6379	2589	4123	1396
2031	2494	13404	8432.5	6374	2588	4121	1386
2029	2500	13402	8434	6376	2589	4114	1380
2028	2494	13403	8433	6376	2589	4112	1385
2028.5	2496	13403.5	8431.5	6376	2586.5	4115	1381.5
2030	2490.5	13404	8434.5	6371.5	2588	4114.5	1384
2029	2493	13402	8429	6373.5	2589.5	4116	1386
2027	2493.5	13401	8433	6378	2589	4118	1384
2030	2494	13401	8432	6374	2590	4113	1384
2027	2499	13402	8439	6371	2588	4117	1389
2028	2493	13401	8433	6374	2588	4113	1383
2028.5	2492.5	13402	8435	6370.5	2586	4116	1380.5
2029	2496	13401.5	8433	6372	2587.5	4115.5	1384
2030	2493.5	13402	8436	6374	2590.5	4120	1386.5
2033	2499	13400	8436	6374	2589	4111	1396
2030	2492	13402	8438	6376.5	2589	4112.5	1380.5
2029	2495.5	13402	8432	6375	2590	4112.5	1385
2026	2495	13400	8434	6372	2588	4110	1394
2032.5	2490	13401	8438.5	6373	2585.5	4116.5	1389
2030	2492	13402	8428.5	6373.5	2588	4109.5	1382.5
2034	2499	13402	8435	6372	2589	4115	1382
2030	2493	13399	8433	6373	2591	4117	1384
2029	2495	13402	8438	6373	2585	4113	1386
2029	2492	13405	8431	6373	2589	4118	1383
2028	2492	13402	8437	6376	2590	4114	1390
2030	2494	13405	8439	6374	2590	4118	1386
2029	2493	13402	8434	6374	2589.5	4113.5	1385
2034	2502	13405	8438	6378	2590	4116	1385
2036	2497	13402	8435	6375	2588	4111	1388
2028	2494	13404	8431	6373	2588	4112	1385
2025	2496	13400	8443	6370	2586	4113	1387
2030.5	2494.5	13402.5	8437	6373.5	2590	4116	1386
2029	2494	13403	8434	6376	2589	4111	1377
2030.5	2494	13404.5	8431	6373.5	2590	4114.5	1384
2031	2499	13401	8435	6373	2590	4115	1384
2024	2494	13403	8439	6377	2589	4115	1386
2031.5	2493.5	13401	8433	6371.5	2589	4113.5	1381
2033.5	2493	13402.5	8435.5	6374	2588.5	4114.5	1396
2029	2497	13405	8443	6376	2589	4114	1384
2030	2493	13402	8440	6375	2588	4113	1385
2027	2500	13403	8433	6376	2591	4110	1385
2032	2490	13403	8435	6374	2589	4110	1380
2030	2495	13404	8439	6376	2588	4114	1387
2027	2493	13402	8434	6376	2588	4117	1382
2033	2500	13402	8428	6370	2587	4112	1384
2027	2491	13405	8436	6371	2588	4113	1379
2027	2493	13404	8439	6373	2590	4112	1384
2026	2492	13403	8434	6375	2590	4118	1381
2030	2494	13402	8443	6372	2587	4118	1385
2030	2497	13402	8438	6374	2587	4111	1384
2028	2498	13403	8437	6375	2589	4123	1380
2030	2493	13402	8432	6376	2587	4112	1383
2032	2496	13405	8429	6373	2589	4112	1384
2028	2491	13403	8435	6374	2588	4112	1386
2026	2493	13404	8435	6373	2589	4117	1382
2027	2493	13403	8440	6371	2590	4112	1385
2029	2499	13403	8436	6375	2588	4116	1388
2031	2495	13404	8431	6376	2589	4113	1387
2032	2497	13403	8429	6373	2589	4116	1384
2028	2496	13402	8436	6372	2589	4115	1385
