"cayley_0"	"cayley_1"	"cayley_2"	"cayley_3"	"cayley_4"	"cayley_5"	"cayley_6"	"cayley_7"
3914.5	6130.5	5711.5	3356.5	3949.5	3338	4093.5	10355
3918	6131.5	5707	3354.5	3951.5	3339	4094	10362
3916	6130	5708.5	3355	3950.5	3340	4094	10356
3905	6132	5707.5	3357	3950	3339	4096	10354.5
3921.5	6132	5708	3356	3950	3338.5	4096.5	10359
3908	6132	5709	3356	3950	3340	4097	10358
3909	6131	5710	3357	3951	3340	4096	10361
3910	6131	5708	3357	3949	3338	4092	10351
3908	6132	5710.5	3357.5	3949.5	3339	4096.5	10355
3905	6131	5711	3360	3949	3338	4097	10357
3911	6131	5712	3357	3949	3339	4098	10363
3906	6130	5709	3358	3951	3338	4096	10353
3906	6131	5712	3357	3953	3338	4094	10356
3912	6133	5710	3359	3950	3338	4095	10352
3912	6131	5709	3358	3948	3339	4093	10354
3920	6130	5707	3358	3950	3339	4091	10351
3911	6132	5708	3358	3949	3340	4094	10361
3910	6130	5709	3358	3949	3338	4092	10362
3918	6132	5709	3356	3950	3340	4092	10357
3912	6132	5708	3357	3949	3338	4095	10356
3912	6131	5711	3359	3950	3339	4096	10356
3907	6131	5708	3358	3952	3340	4095	10361
3911	6130	5708	3358	3949	3339	4090	10356
3906	6131	5709	3357	3949	3340	4093	10360
3912	6130	5710	3357	3950	3340	4094	10356
3903	6132	5708	3357	3950	3338	4095	10352
3909	6130	5706	3356	3949	3338	4093	10355
3908	6130	5705	3356	3949	3341	4091	10359
3902	6132	5709	3358	3950	3339	4098	10354
3910	6131	5706.5	3356.5	3950	3337.5	4096	10360
3907.5	6132	5708.5	3355.5	3946.5	3337	4094	10356.5
3911	6130	5711	3357	3950	3339	4092	10357
3913	6134	5710	3358	3951	3339	4096	10360
3905	6132	5707	3357	3949	3337	4093	10358
3910.5	6131.5	5708.5	3352.5	3948.5	3338	4092	10356
3912.5	6132	5705	3356	3948.5	3340	4095.5	10360
3908	6131	5710	3355	3951	3338	4098	10357
3913	6132	5705	3353.5	3951	3341	4094.5	10354
3907	6134	5711	3359	3951	3339	4097	10358
3910	6129	5708	3354	3951	3337	4093	10353
3917	6132	5712	3356	3947	3340	4093	10360
3910	6131	5706.5	3355	3949	3339	4092	10356.5
3907	6131	5708	3357	3950	3338	4091	10357
3910	6132	5707	3355	3949	3339	4090	10358
3905	6131	5707	3356	3950	3337	4094.5	10355
3910	6132	5710.5	3355	3949	3338	4095.5	10353
3906	6130.5	5706.5	3356.5	3950	3339	4094	10356.5
3904	6132	5705.5	3354	3948	3338	4093	10357
3907	6130	5710	3356	3948	3336	4090	10355
3908	6133	5709	3358	3950	3339	4092	10353
3909	6133	5707	3357	3950	3338	4093	10354
3907	6130	5708	3352	3948.5	3337	4092	10355
3908.5	6133.5	5708	3356	3949	3336	4090.5	10359
3906.5	6132	5711.5	3352.5	3949	3335.5	4092	10354
3912.5	6130	5708.5	3358	3949	3337	4093.5	10357.5
3907	6131	5707	3355.5	3948	3338	4089.5	10353.5
3906.5	6130.5	5707.5	3358	3947.5	3338	4089	10358
3909	6129	5707	3356	3948	3336	4092	10356
3910	6132	5707.5	3353	3949	3338	4095	10355
3908.5	6130	5705	3357.5	3949	3338	4088.5	10353.5
3912	6129	5707	3356	3950	3337	4087	10354
3910	6132	5707	3357	3949	3339	4093	10357
3908	6130	5707	3354	3949	3337	4090	10354
3911	6133	5707	3358	3951	3337	4094	10357
3907	6130	5709	3356	3949	3337	4097	10355
3910	6131	5710	3357	3951	3341	4092	10354
3903.5	6133	5711	3356.5	3949	3337	4091.5	10352.5
3917	6133	5711	3358	3952	3339	4101	10354
3914	6131	5709	3359	3949	3338	4098	10358
3911	6133	5708	3357	3950	3337	4096	10356
3910	6130	5709	3355	3950	3337	4092	10352
3913	6130	5707	3355	3949	3338	4094	10355
3908	6132	5708	3357	3950	3336	4092	10353
3911	6132	5707.5	3358.5	3950	3339.5	4091	10353.5
3910	6129	5711	3355	3951	3336	4092	10354
3904	6133	5708	3356	3950	3336	4090	10361
3905	6132	5708	3354	3950	3336.5	4097	10351.5
3912.5	6130	5708	3355.5	3950	3338.5	4095.5	10354
3911	6133	5710	3359	3950	3340	4094	10355
3906	6131	5709	3357	3951	3337	4092	10357
3906	6132	5710	3354	3948	3338	4094	10355
3914	6129	5704	3357	3950	3336	4091	10356
3910	6131	5710	3357	3952	3340	4101	10354
3909	6133	5709	3355	3950	3339	4096	10360
3915	6130	5709	3358	3948	3337	4095	10354
3900	6130	5709	3357	3949	3338	4091	10358
3904	6131	5707	3356	3948	3336	4098	10355
3906	6131	5707	3357	3950	3337	4088	10361
3910	6132	5707	3356	3949	3339	4094	10361
3914	6131	5710	3358	3949	3337	4093	10358
3911	6131	5711	3358	3949	3339	4096	10357
3909	6130	5706	3355	3949	3338	4091	10357
3909	6131	5711	3359	3948	3336	4093	10353
3908	6130	5708	3356	3951	3340	4093	10357
3908	6130	5710	3358	3950	3339	4091	10353
3907	6133	5711	3356	3951	3337	4091	10356
3912	6131	5712	3355	3950	3338	4094	10357
3909	6130	5711	3356	3953	3338	4097	10359
3910	6130	5711	3356	3950	3336	4093	10355
3908	6131	5708	3358	3951	3338	4095	10356
