"cayley_0"	"cayley_1"	"cayley_2"	"cayley_3"	"cayley_4"	"cayley_5"	"cayley_6"	"cayley_7"
2023	2507.5	13304	8464.5	6695.5	2449.5	4135	1243.5
2021	2508	13304	8462	6692	2447	4136.5	1241
2027	2508	13303	8465	6695	2448	4141.5	1241.5
2020	2506.5	13304	8461	6694.5	2449.5	4140	1246
2028.5	2508	13303	8462.5	6697	2455	4137	1246
2023	2506	13301	8465	6695	2448	4140	1243
2018	2508	13305	8460	6693	2447	4139	1247
2029	2506	13304	8459	6695	2451	4136	1241
2024	2508	13301	8465	6692.5	2450.5	4135	1248
2024	2506	13303	8462	6694	2447	4135	1242
2022	2507	13303	8460	6694	2445	4139	1243
2023	2505	13305	8464	6692	2449	4138	1242
2018	2506	13304	8461	6696	2448	4136	1241
2028	2510	13305	8465	6695	2453	4136	1241
2031	2508	13306	8463	6695	2444	4141	1245
2025	2507	13304	8460	6693	2447	4138	1242
2027	2507	13303	8466	6692	2446	4142	1241
2024	2506	13304	8466	6696	2449	4136	1242
2026	2506	13304	8464	6691	2450	4136	1241
2024	2507	13303	8460	6693	2447	4137	1245
2020	2508	13304	8456	6693	2449	4136	1244
2019	2508	13306	8458	6693	2448	4135	1242
2026	2508	13302	8469	6696	2452	4141	1247
2025	2508	13305	8464	6696	2445	4138	1245
2022	2507	13304	8466	6694	2451	4142	1242
2028	2506	13303	8464	6695	2452	4138	1243
2021	2508	13304	8463	6695	2443	4137	1242
2029	2506	13303	8469	6698	2446	4141	1247
2027	2509	13304	8458	6693	2446	4138	1242
2023.5	2505.5	13304	8463.5	6696.5	2451	4144	1242
2027.5	2508	13303	8464	6693.5	2446.5	4140	1243
2022	2508	13302	8460	6695	2450	4134	1248
2023	2508	13305	8458	6693	2452	4135	1242
2025	2506	13305	8466	6696	2450	4137	1241
2031	2506	13304.5	8465	6695	2450	4141.5	1242.5
2020.5	2507.5	13302	8465	6693	2445.5	4138	1241.5
2020	2508	13304	8459	6692	2448	4139	1241
2026.5	2506	13301.5	8460	6693.5	2448.5	4145	1243
2019	2508	13305	8462	6694	2451	4135	1243
2021	2508	13304	8457	6695	2450	4143	1246
2026	2507	13304	8464	6693	2451	4144	1243
2025	2508	13302.5	8460.5	6695	2445	4144	1241
2025	2507	13305	8464	6693	2450	4141	1244
2022	2509	13305	8463	6695	2451	4140	1242
2020	2509.5	13303	8459.5	6694	2447.5	4137.5	1243
2019.5	2506.5	13302	8464.5	6693.5	2448	4138	1243
2026	2506.5	13304	8464	6694.5	2451	4138	1245
2021	2508	13303	8459.5	6693.5	2445.5	4138	1242.5
2030	2510	13306	8477	6697	2451	4148	1247
2026	2507	13304	8466	6696	2445	4143	1248
2025	2507	13301	8463	6695	2449	4136	1242
2016	2508	13303.5	8467	6693	2448.5	4140.5	1245
2022.5	2509	13307	8466	6692.5	2453	4143.5	1245
2017	2508.5	13302.5	8460.5	6693	2451	4141	1243.5
2023.5	2507	13303.5	8465.5	6694.5	2449	4140	1242
2021.5	2506.5	13303.5	8459	6698	2450.5	4136.5	1249
2019	2509	13305.5	8465.5	6694.5	2447	4139.5	1247
2021	2507	13303	8463	6691	2447	4138	1244
2019	2505.5	13303	8466	6698	2449	4136.5	1246
2025.5	2509	13303.5	8464.5	6694	2445	4136.5	1243
2032	2508	13306	8462	6694	2445	4140	1242
2026	2508	13301	8464	6692	2449	4139	1244
2018	2508	13303	8465	6693	2446	4141	1240
2022	2508	13304	8466	6697	2450	4139	1243
2022	2507	13302	8460	6694	2451	4137	1243
2024	2509	13305	8468	6695	2450	4138	1244
2025.5	2507	13304	8464	6693.5	2449	4139.5	1241
2029	2509	13306	8465	6697	2450	4142	1244
2035	2509	13302	8462	6693	2447	4138	1243
2017	2506	13305	8461	6693	2446	4135	1242
2023	2508	13304	8460	6694	2450	4138	1241
2022	2509	13304.5	8464	6695	2452	4143	1241
2025	2506	13304	8462	6697	2451	4138	1248
2018	2508	13304	8461	6695	2449.5	4138	1243
2030	2507	13304	8462	6693	2444	4136	1242
2022	2507	13306	8472	6696	2450	4142	1246
2024	2507	13302.5	8463	6698.5	2451	4136	1245
2032	2507	13301.5	8460	6694	2453	4138	1244
2027	2509	13305	8463	6695	2450	4141	1241
2027	2508	13301	8461	6694	2449	4140	1241
2023	2508	13304	8461	6694	2445	4135	1241
2032	2507	13302	8466	6698	2447	4142	1242
2024	2508	13302	8462	6696	2444	4139	1245
2025	2508	13305	8461	6697	2452	4137	1242
2024	2509	13305	8462	6692	2445	4138	1242
2019	2506	13304	8459	6693	2451	4139	1243
2017	2509	13303	8459	6693	2447	4137	1242
2022	2509	13302	8460	6693	2450	4140	1245
2031	2505	13303	8464	6698	2449	4146	1242
2022	2507	13305	8458	6693	2445	4138	1246
2028	2509	13305	8460	6695	2448	4147	1242
2029	2507	13305	8469	6696	2448	4143	1242
2023	2506	13303	8462	6694	2449	4144	1240
2025	2505	13304	8465	6696	2449	4138	1245
2026	2508	13304	8461	6695	2451	4146	1244
2022	2510	13304	8466	6697	2447	4141	1248
2018	2507	13305	8462	6698	2453	4137	1243
2031	2507	13304	8464	6694	2449	4139	1243
2025	2507	13304	8473	6697	2446	4146	1246
2029	2507	13307	8464	6696	2446	4138	1244
