"cayley_0"	"cayley_1"	"cayley_2"	"cayley_3"	"cayley_4"	"cayley_5"	"cayley_6"	"cayley_7"	"cayley_8"	"cayley_9"	"cayley_10"	"cayley_11"	"cayley_12"	"cayley_13"	"cayley_14"	"cayley_15"	"cayley_16"	"cayley_17"
3875.5	2838	2689.5	2813	2161.5	2347.5	1444.5	2885.5	2591.5	1452	1944	1048.5	1623.5	2757	1369	1229	3567.5	2055
3877	2838.5	2679	2816	2163	2349.5	1446	2885	2589	1454	1944.5	1051	1621	2758	1367.5	1228.5	3570	2055
3881	2837.5	2684	2814.5	2161	2349	1443.5	2886	2595.5	1452	1945.5	1057.5	1626.5	2759.5	1368	1228.5	3574	2056
3875	2837	2678.5	2817	2162	2350.5	1443	2885	2592.5	1451.5	1943.5	1050.5	1622	2754	1367	1228.5	3569	2054.5
3883.5	2837.5	2679	2817	2166	2350.5	1448	2882.5	2595	1454	1945	1051	1621.5	2757	1367.5	1228	3566	2055
3875	2836	2685	2815	2163	2350	1448	2885	2592	1452	1944	1049	1622	2758	1369	1228	3566	2055
3873	2837	2682	2811	2164	2349	1443	2885	2594	1452	1945	1049	1625	2757	1366	1226	3571	2055
3885	2839	2687	2816	2164	2348	1446	2887	2590	1454	1945	1051	1623	2758	1366	1231	3571	2054
3876.5	2838	2688	2812	2168	2352	1443.5	2884.5	2590.5	1452	1942	1049.5	1622.5	2756	1370	1226.5	3569	2055
3877	2838	2681	2814	2164	2351	1448	2883	2594	1454	1943	1055	1621	2756	1368	1226	3572	2054
3875	2837	2683	2816	2163	2350	1448	2884	2589	1451	1943	1043	1622	2755	1367	1229	3573	2054
3881	2836	2685	2815	2164	2350	1448	2888	2592	1453	1941	1053	1625	2757	1370	1226	3566	2055
3875	2838	2690	2813	2162	2348	1448	2884	2592	1454	1944	1047	1623	2754	1370	1225	3570	2054
3888	2839	2690	2822	2170	2350	1452	2886	2597	1453	1945	1053	1628	2759	1372	1230	3568	2055
3890	2837	2681	2817	2166	2351	1449	2885	2594	1453	1942	1061	1627	2755	1369	1235	3570	2057
3875	2838	2683	2818	2164	2349	1448	2884	2594	1454	1943	1058	1625	2756	1368	1227	3570	2056
3877	2836	2683	2814	2166	2350	1449	2885	2591	1453	1943	1048	1623	2758	1368	1229	3566	2055
3883	2837	2681	2812	2166	2349	1449	2885	2591	1454	1946	1053	1624	2758	1370	1227	3582	2057
3878	2840	2689	2812	2166	2349	1448	2884	2591	1453	1941	1047	1623	2756	1370	1229	3573	2058
3883	2838	2681	2812	2164	2351	1446	2884	2595	1450	1941	1051	1622	2759	1367	1231	3567	2054
3875	2838	2683	2814	2164	2350	1442	2886	2595	1451	1943	1051	1624	2758	1367	1227	3572	2054
3874	2838	2677	2818	2165	2350	1444	2884	2593	1452	1941	1049	1622	2754	1371	1226	3566	2055
3879	2837	2679	2818	2168	2349	1446	2887	2593	1454	1943	1051	1627	2756	1368	1230	3582	2055
3880	2839	2683	2817	2164	2351	1447	2886	2596	1452	1945	1048	1625	2757	1369	1226	3566	2057
3881	2838	2689	2816	2167	2351	1443	2886	2595	1454	1943	1051	1622	2757	1367	1228	3567	2055
3881	2839	2690	2814	2163	2349	1444	2883	2591	1451	1943	1050	1625	2755	1368	1225	3567	2055
3880	2839	2683	2813	2164	2351	1443	2886	2593	1453	1944	1049	1623	2754	1368	1224	3572	2056
3881	2839	2690	2814	2163	2350	1448	2884	2589	1452	1945	1049	1624	2755	1369	1226	3570	2055
3875	2837	2678	2818	2164	2350	1448	2887	2597	1451	1942	1056	1622	2757	1369	1225	3566	2055
3879.5	2836.5	2685	2814.5	2165.5	2350.5	1444.5	2885	2594	1453	1944.5	1052.5	1623	2756	1367.5	1229	3571	2054
3884.5	2836.5	2685	2812	2162.5	2349	1443.5	2884	2594	1453	1942.5	1054.5	1621.5	2756.5	1365	1228.5	3568	2055
3877	2838	2688	2814	2167	2350	1445	2885	2594	1453	1944	1049	1621	2756	1369	1228	3567	2055
3876	2840	2690	2813	2163	2348	1445	2886	2590	1452	1944	1050	1625	2756	1368	1224	3573	2053
3881	2839	2678	2814	2166	2349	1444	2884	2590	1453	1942	1047	1620	2754	1366	1225	3569	2055
3882.5	2838	2682.5	2814	2166.5	2350.5	1441	2885	2595.5	1452	1944	1048	1621	2756	1368.5	1231	3574	2056
3876	2837	2680	2812	2165	2350	1441.5	2885.5	2593	1454	1944	1050	1626	2755	1369.5	1227.5	3566	2056
3881	2839	2686	2814	2161	2349	1445	2887	2595	1452	1943	1050	1624	2758	1368	1232	3574	2055
3886.5	2839	2680.5	2813	2162	2349	1443	2884	2592.5	1453	1945	1053.5	1621	2755.5	1368	1230	3566	2056
3871	2839	2690	2815	2163	2351	1446	2886	2590	1453	1943	1050	1620	2755	1369	1224	3574	2054
3878	2837	2683	2816	2164	2352	1448	2883	2595	1453	1941	1044	1626	2756	1367	1227	3565	2054
3884	2839	2688	2814	2166	2351	1448	2885	2592	1454	1943	1052	1624	2756	1368	1226	3573	2057
3878.5	2839	2685	2815.5	2161	2349	1448.5	2885	2588	1452	1944	1052.5	1623.5	2755	1366	1229	3570	2054
3882	2838	2680	2816	2164	2350	1445	2886	2591	1453	1943	1050	1624	2756	1370	1230	3578	2057
3883	2838	2680	2812	2167	2350	1444	2885	2594	1454	1945	1047	1622	2755	1368	1227	3568	2057
3873.5	2837	2682	2817	2163	2349	1443.5	2883	2587.5	1451.5	1943	1048	1619	2753	1369	1225.5	3566.5	2056
3881	2837.5	2683	2812.5	2164	2349	1446	2885	2593	1454	1942.5	1048	1621	2758	1368	1225	3566	2055
3880	2838	2683	2815.5	2164.5	2350	1448	2884	2593	1451	1943.5	1050	1625.5	2756	1369.5	1227.5	3571	2055
3880	2838.5	2679	2810	2161	2349	1443	2886.5	2593	1453	1943	1051	1626	2755	1368	1225.5	3570	2055.5
3888	2836	2681	2820	2168	2349	1451	2886	2595	1454	1945	1050	1625	2756	1367	1222	3570	2057
3883	2838	2684	2814	2160	2351	1447	2887	2597	1454	1943	1052	1626	2758	1369	1228	3565	2057
3881	2838	2690	2816	2165	2351	1447	2884	2591	1452	1943	1051	1625	2756	1368	1226	3573	2056
3881	2836.5	2682.5	2817.5	2160	2349.5	1447	2887	2590	1453	1944	1048.5	1625	2754.5	1367	1231.5	3566	2056
3881	2838	2688	2814	2167	2350	1449	2884.5	2594	1454	1943.5	1051	1621.5	2758	1368	1229.5	3575	2056
3877.5	2839.5	2686.5	2816	2164.5	2350	1443	2887	2592.5	1453	1943	1051	1622	2757	1369	1227	3568	2056.5
3881	2838	2680.5	2812	2165	2350	1446	2885	2589.5	1453	1942.5	1045	1620.5	2755	1370	1229.5	3566.5	2057.5
3871.5	2839	2686	2814.5	2162.5	2352	1446	2884.5	2593	1451	1941	1052	1627	2756	1366.5	1234	3566	2054
3873.5	2837	2680	2814	2168	2351	1443	2883	2595	1453	1942	1049	1623	2754.5	1370	1224	3571.5	2057
3877	2838	2686	2815	2164	2350	1447	2885	2587	1453	1944	1048	1622	2755	1369	1228	3573	2055
3878.5	2839.5	2684	2812	2162.5	2350	1443.5	2885.5	2593	1452	1944	1049.5	1625.5	2754.5	1367.5	1228	3566	2056.5
3885	2839	2679.5	2816	2162	2349	1449	2885	2590.5	1454	1943	1051.5	1625.5	2758	1370	1228	3566	2054.5
3891	2838	2685	2815	2158	2348	1442	2888	2597	1454	1942	1050	1626	2755	1367	1230	3565	2055
3879	2839	2688	2815	2162	2349	1446	2885	2590	1453	1943	1047	1622	2756	1368	1228	3574	2054
3878	2837	2682	2815	2162	2348	1443	2887	2592	1453	1942	1045	1623	2757	1366	1225	3565	2053
