"cayley_0"	"cayley_1"	"cayley_2"	"cayley_3"	"cayley_4"	"cayley_5"	"cayley_6"	"cayley_7"
3875.5	6985.5	5686.5	3382.5	4464	3424	5503	7501
3877	6985.5	5685	3382	4463	3427	5502.5	7501
3881	6986	5682	3380	4465	3427	5512	7503
3875	6986	5683.5	3383	4466	3426	5505	7501.5
3883.5	6986	5686	3384.5	4465	3426	5506.5	7499.5
3875	6986	5685	3384	4464	3425	5504	7500
3873	6987	5684	3380	4465	3425	5507	7502
3885	6988	5685	3383	4466	3426	5508	7501
3876.5	6988	5684	3383	4465	3424	5503.5	7501.5
3877	6987	5685	3385	4465	3425	5510	7503
3875	6988	5687	3385	4464	3425	5503	7502
3881	6986	5686	3384	4466	3425	5509	7500
3875	6988	5685	3383	4465	3426	5502	7500
3888	6987	5689	3384	4466	3425	5511	7499
3890	6986	5687	3384	4464	3427	5516	7505
3875	6987	5686	3383	4463	3424	5512	7502
3877	6985	5685	3383	4466	3424	5506	7500
3883	6986	5684	3383	4466	3426	5508	7508
3878	6989	5682	3383	4464	3425	5500	7500
3883	6986	5684	3381	4464	3423	5508	7501
3875	6986	5686	3382	4465	3423	5511	7500
3874	6987	5687	3383	4464	3425	5503	7499
3879	6985	5687	3383	4466	3426	5516	7508
3880	6988	5686	3383	4464	3426	5506	7500
3881	6986	5685	3384	4465	3427	5502	7499
3881	6986	5686	3383	4464	3425	5507	7499
3880	6987	5686	3382	4465	3425	5502	7500
3881	6988	5682	3383	4466	3426	5503	7500
3875	6985	5686	3385	4467	3424	5509	7499
3879.5	6987.5	5684.5	3381.5	4466.5	3424.5	5507.5	7502
3884.5	6985	5682.5	3381	4463.5	3425	5510.5	7501.5
3877	6987	5686	3382	4465	3425	5503	7499
3876	6987	5684	3382	4467	3425	5504	7502
3881	6988	5684	3384	4465	3423	5502	7500
3882.5	6985	5687	3380.5	4464	3425.5	5506.5	7504
3876	6986	5684	3382.5	4464	3425	5502.5	7501
3881	6988	5684	3382	4466	3425	5507	7504
3886.5	6986	5684	3382	4463.5	3426	5512	7501.5
3871	6987	5684	3382	4465	3424	5505	7500
3878	6987	5684	3384	4465	3423	5503	7498
3884	6988	5685	3382	4465	3426	5506	7499
3878.5	6986	5684.5	3385	4464	3424	5507	7502
3882	6985	5683	3384	4466	3425	5505	7504
3883	6985	5683	3381	4465	3428	5506	7503
3873.5	6986	5684	3383	4464.5	3424	5501.5	7499
3881	6986	5683	3381.5	4466.5	3425	5502.5	7499.5
3880	6987	5684	3383	4463.5	3425	5505	7503
3880	6986	5684	3382	4467	3425	5505	7499.5
3888	6986	5689	3384	4465	3429	5505	7501
3883	6986	5684	3384	4466	3426	5507	7500
3881	6987	5685	3382	4465	3425	5510	7501
3881	6987	5687	3382.5	4465	3424.5	5503.5	7499.5
3881	6986	5686	3383	4465	3427.5	5504	7505
3877.5	6987.5	5686.5	3383	4467	3424	5507	7501
3881	6987	5683.5	3381	4464.5	3427	5503	7501
3871.5	6988	5688	3384	4464	3425	5505.5	7501
3873.5	6987	5685.5	3383.5	4464	3425	5507.5	7501.5
3877	6986	5685	3382	4464	3427	5503	7502
3878.5	6987	5684.5	3382	4465	3427	5504	7499
3885	6985	5685.5	3384	4466	3426	5507	7499.5
3891	6986	5682	3382	4466	3424	5504	7501
3879	6988	5684	3382	4465	3426	5504	7507
3878	6986	5684	3382	4466	3425	5503	7496
3880	6986	5686	3384	4464	3427	5505	7500
3877	6986	5682	3381	4464	3426	5513	7502
3882	6984	5686	3383	4466	3427	5510	7503
3880.5	6986	5687	3382	4466	3425	5507	7502
3890	6988	5687	3384	4466	3428	5513	7505
3885	6986	5687	3385	4464	3425	5510	7503
3875	6985	5683	3381	4464	3426	5505	7500
3876	6986	5685	3382	4466	3424	5502	7501
3878	6987	5685	3381	4466	3424.5	5503	7501
3882	6988	5685	3383	4465	3426	5504	7502
3874	6986.5	5683	3383.5	4465	3423	5504	7500
3882	6986	5684	3383	4466	3425	5509	7505
3882	6986	5687	3383	4463	3428	5507	7501
3879.5	6986	5684	3381	4464	3424	5502.5	7500
3888	6986.5	5687	3383	4465.5	3424	5513	7501.5
3885	6986	5685	3381	4466	3427	5511	7502
3881	6987	5686	3381	4465	3424	5508	7499
3877	6986	5685	3384	4464	3426	5501	7501
3890	6986	5684	3382	4466	3424	5506	7498
3876	6986	5686	3383	4467	3428	5507	7499
3884	6986	5686	3384	4466	3425	5506	7504
3883	6985	5686	3383	4464	3426	5508	7500
3879	6984	5685	3384	4464	3426	5503	7505
3877	6986	5685	3383	4464	3425	5512	7500
3880	6987	5685	3383	4467	3424	5512	7499
3889	6986	5683	3382	4465	3425	5509	7500
3877	6987	5684	3382	4464	3426	5506	7502
3882	6987	5685	3383	4467	3425	5516	7503
3883	6987	5683	3382	4466	3427	5512	7505
3878	6986	5685	3383	4465	3426	5501	7499
3879	6986	5688	3384	4465	3425	5504	7504
3883	6985	5684	3383	4465	3426	5507	7503
3882	6985	5686	3384	4464	3428	5505	7501
3878	6987	5684	3382	4464	3426	5502	7502
3882	6987	5685	3382	4464	3426	5507	7503
3886	6988	5686	3384	4464	3427	5503	7499
3883	6986	5684	3384	4465	3427	5507	7504
