Variable	F_statistic	DF	R_squared	beta_Age	beta_Sex	beta_euler_total	beta_DXFEP	se_Age	se_Sex	se_euler_total	se_DXFEP	t_Age	t_Sex	t_euler_total	t_DXFEP	p_Age	p_Sex	p_euler_total	p_DXFEP
Visual_left	0.5203789764759646	76	-0.02457027212955376	0.008382446531367518	0.21538440235475423	-0.001515207444973253	-0.17967621047322818	0.03116564535596818	0.300764877809867	0.0014352141647640889	0.2847155658658385	0.2689643174599717	0.716122187946801	-1.0557361278707231	-0.6310726634380567	0.788685960420485	0.47611059787185805	0.29443332552885765	0.5298863863923757
Somatomotor_left	4.089194418791114	76	0.13379394546034817	0.04029007934239315	-0.2127368792143384	-0.004216480650956238	1.1089439258265883	0.043312569836627	0.4179890910569518	0.001994594144669518	0.3956845009717531	0.9302167822035371	-0.5089531850613599	-2.1139541907433315	2.8025963187922613	0.35520422236337335	0.6122594942576702	0.037799643687565866	0.0064287436782699044
DorsalAtt_left	6.292246780115996	76	0.20924383769165988	-0.019666467464188743	0.2380576827419185	-0.004071538259385614	1.288564690416968	0.039027507541977584	0.3766359850090099	0.0017972620492826452	0.35653806514292324	-0.5039129758167542	0.6320630322570576	-2.265411580359535	3.6141013159434436	0.6157801957282742	0.5292425388917108	0.026335575633151007	5.390935200035361e-4
VentralAtt_left	1.5602669975792651	76	0.027249986473679155	0.00826016598411706	0.005915458721350169	-0.0015497361555594788	0.5398929443621597	0.031036970750336842	0.29952310015380024	0.0014292885497306698	0.2835400515218727	0.2661395678902527	0.01974959099419269	-1.0842710213074231	1.904115279179568	0.7908524166711235	0.9842948891803516	0.28167234776968336	0.06068024137056023
Limbic_yeo_left	2.967504961254011	76	0.08956433444418344	0.010676912935077668	0.05714751926250437	-0.004855235776306135	-0.11101733795169134	0.03172739122783416	0.3061860210777896	0.0014610832145813234	0.28984742795161733	0.33652035423923876	0.1866431362912727	-3.323038501744347	-0.383019917534762	0.7374059444773726	0.8524377690984051	0.0013715713159139094	0.7027742162782716
Frontoparietal_left	1.8565281091168662	76	0.04106762662681418	-0.1420722492840656	0.10069677109262658	-0.004772987797670998	0.3627706494958332	0.07099766949260812	0.6851648713136761	0.0032695251376053175	0.648603339153146	-2.0010832792033737	0.14696721228506543	-1.4598412909487077	0.5593104870065694	0.04895402575366135	0.8835470706875763	0.1484550879409768	0.5775944090562395
Default_left	0.692758186008603	76	-0.01560176645086142	-0.001991620813483879	1.0270166186866763	0.0020626530040286813	0.2889120401876637	0.07154838427164616	0.6904795587309782	0.0032948861927861936	0.6536344260487835	-0.027835999844836982	1.4873961230281956	0.6260164641026579	0.44200860400535413	0.9778659183323721	0.14104757456647118	0.5331797809880479	0.6597382119222227
Visual_right	1.0446264611449054	76	0.0022263553392433133	0.03374225431438557	-0.016350766017857087	0.001545924886178062	0.11999683869038175	0.0254218822710379	0.2453345415316849	0.001170707203833713	0.23224308412362826	1.3272917384574126	-0.06664681587751632	1.3205051451939687	0.5166863811819891	0.18838573451508275	0.9470378907565395	0.1906293054475021	0.6068754090062151
Somatomotor_right	1.0724804134898234	76	0.0036109345729445907	-0.07391498653869716	-0.17132434691751292	-0.0014654931183763623	0.2352839338558185	0.040846582726864436	0.3941910177850177	0.001881032574240522	0.37315633229901746	-1.8095757736444358	-0.434622655483614	-0.7790897076665798	0.6305237603934881	0.07431540860418562	0.6650679139667905	0.438346094321561	0.5302434078641871
DorsalAtt_right	1.393011051948459	76	0.019271850093510734	-0.04425091802252691	-0.3303293578425012	7.503367121186281e-4	0.5708630677398601	0.03187292348952881	0.3075904839857782	0.0014677851442551242	0.29117694639305697	-1.3883545397730659	-1.0739258040823343	0.5112033699587626	1.960536624933409	0.1690851906233494	0.2862538653080823	0.6106906252839619	0.05359791313666445
VentralAtt_right	1.1581755363114488	76	0.00784671886731636	-0.02956592694385172	-0.48654050314380753	-7.2637385340386e-4	0.23684202978637045	0.027156898854524124	0.26207836457048483	0.0012506067325705108	0.2480934290374485	-1.0887077755907417	-1.8564695484924494	-0.5808171621712472	0.9546485398878513	0.2797231003657706	0.06726226837223252	0.5630821125081957	0.34278212717727996
Limbic_yeo_right	3.931480993129512	76	0.12783653153530783	0.02520050597207742	0.24958507127851542	-0.00518100758000932	0.10108930643019726	0.03279603710742203	0.31649901616340914	0.0015102955984733699	0.2996101045412356	0.7684009470270518	0.7885808755552469	-3.430459298991775	0.3374028609114692	0.4446301708441932	0.43280999638848894	9.771345154841722e-4	0.7367433189895258
Frontoparietal_right	3.440052138622558	76	0.10873647367435824	-0.13941596772242282	0.19030539184206124	-0.011542684946827319	0.9232810160375768	0.09118169791093883	0.8799513668799422	0.00419902308822105	0.832995704751207	-1.5289906956832118	0.21626807912899793	-2.7488977088995887	1.1083862867136098	0.13041843126695257	0.8293582230044527	0.0074667871186202646	0.2711903566695632
Default_right	3.1858755459648846	76	0.09852554799724578	-0.08032286203897054	0.069186577952161335	-0.0070658910225498	-0.07297570392041723	0.05175961165999542	0.4995074896924456	0.002383590231122496	0.4728529428622783	-1.5518443717585195	0.1385095907065589	-2.964389990481831	-0.1543306540056195	0.12485402363515426	0.8902040413585436	0.004049259504779624	0.8777581298880119
