Variable	Correlation	pvalue
Unmatched_left	0.0115709564790741	0.95526173087323
Visual_left	-0.101337830238637	0.622308096068264
Somatomotor_left	0.0186462910543181	0.927961922448691
DorsalAtt_left	0.511112480736393	0.00762001100396706
VentralAtt_left	-0.119164289988496	0.562042829645784
Limbic_yeo_left	-0.192373672674434	0.346443955855152
Frontoparietal_left	-0.0762507131132985	0.71121724049564
Default_left	-0.185542815189793	0.364157330090667
Unmatched_right	0.0650678050550802	0.752154768857921
Visual_right	-0.0372458555680714	0.856650712978426
Somatomotor_right	0.0460077107728379	0.823399730708788
DorsalAtt_right	0.331596438585109	0.097952275557229
VentralAtt_right	-0.308372525841841	0.125350904522977
Limbic_yeo_right	0.227808737931127	0.263025588052443
Frontoparietal_right	-0.126594313621657	0.537731169990315
Default_right	-0.372642717295583	0.0608155607145796
