Variable	Correlation	pvalue
Unmatched_left	0.0801163555878674	0.652417534940299
Visual_left	0.107660901987769	0.544481455799143
Somatomotor_left	-0.0543213972673773	0.760272353908647
DorsalAtt_left	0.45760713591218	0.00650522901315567
VentralAtt_left	-0.151971366422356	0.390897031204207
Limbic_yeo_left	-0.195572379259438	0.267661188657085
Frontoparietal_left	-0.0759460761316015	0.669458464078186
Default_left	-0.165936190047553	0.348296203139385
Unmatched_right	-0.0350541906737949	0.843972950285198
Visual_right	0.109684822104742	0.536897029324968
Somatomotor_right	-0.0513435775343537	0.773060503199768
DorsalAtt_right	0.390373092197282	0.0224589103962751
VentralAtt_right	-0.189093194361443	0.284146377727821
Limbic_yeo_right	0.102516018605763	0.56398643569657
Frontoparietal_right	-0.168035221958565	0.342145693732751
Default_right	-0.291043304228797	0.0949283780347017
