Variable	Correlation	pvalue
Unmatched_left	-0.0924616909311187	0.527465810755953
Visual_left	-0.283498722604624	0.0483855340465357
Somatomotor_left	0.0429063054784731	0.769731986971336
DorsalAtt_left	0.122217977384512	0.402827020300369
VentralAtt_left	-0.0147802579344437	0.919712124991312
Limbic_yeo_left	0.104476375479212	0.474971377572749
Frontoparietal_left	0.186984540730733	0.198274369635736
Default_left	0.258208212909397	0.0732435351978265
Unmatched_right	0.129966865685202	0.373430698186942
Visual_right	-0.07814252092978	0.593553272854028
Somatomotor_right	0.0768066194941922	0.599901074849795
DorsalAtt_right	0.0714853186025566	0.625475759473509
VentralAtt_right	0.19486542594012	0.179677754317283
Limbic_yeo_right	-0.0969853436905855	0.50737090280023
Frontoparietal_right	-0.0997007577626977	0.49549827636168
Default_right	-0.00893298874760111	0.951424641905119
