Variable	F_statistic	DF	R_squared	beta_Age	beta_Sex	beta_euler_total	beta_DX3+year	beta_DXCHR	beta_DXFEP	se_Age	se_Sex	se_euler_total	se_DX3+year	se_DXCHR	se_DXFEP	t_Age	t_Sex	t_euler_total	t_DX3+year	t_DXCHR	t_DXFEP	p_Age	p_Sex	p_euler_total	p_DX3+year	p_DXCHR	p_DXFEP
Visual_left	2.1504874073504254	90	0.06708190735485131	-0.0024661159114561333	0.09032824412731688	2.2637480868337987e-5	-0.0014993950247645636	-0.027704588256594172	0.008717500092410665	0.0028077573145780703	0.0284707116194044	1.3447191445644687e-4	0.04822505637473016	0.047159483763280455	0.02746676004648765	-0.8783223174780416	3.1726725111343224	0.16834356051106775	-0.031091617874193796	-0.5874658933006738	0.317383633077081	0.3821076785373978	0.00206673706782837	0.8666907463290348	0.9752653203318917	0.5583618735426157	0.7516876636619484
Somatomotor_left	3.367621982340159	90	0.12890193322883858	-0.004185519480786261	0.057217923062832333	3.1407464293770705e-4	-0.02275248819642083	0.0055453856711740876	-0.0012183998417957572	0.0021448458835959575	0.021748777325900612	1.0272309885319264e-4	0.036839121783951795	0.03602513083912402	0.020981858693966158	-1.9514313418962284	2.630856999703221	3.0574880084816054	-0.6176175515218846	0.15393103486390913	-0.05806920442878293	0.054115529436288175	0.01001933864072269	0.0029388159999051895	0.5383870846220308	0.8780087545538428	0.9538222402534329
DorsalAtt_left	2.0019092617067944	90	0.05892922061190997	-0.005282800020597141	0.04275329779486456	5.931436518593011e-5	-0.03979773113494433	-0.027801541395671345	-0.016794501686115737	0.0023002310041425177	0.023324385350874204	1.1016495806568718e-4	0.039507962199484	0.038635001012526836	0.022501906669155313	-2.29663890760679	1.8329871142032967	0.5384140858163192	-1.0073344439785892	-0.7195946853128617	-0.7463590500593866	0.023960170710703624	0.07011066944251888	0.5916203622997049	0.3164747199268012	0.473639085574733	0.4573957289815094
VentralAtt_left	4.160206025570353	90	0.16493591046739697	-0.005389519022250177	0.06922759137302983	2.5036982839000765e-4	-0.03441398434333454	0.005570324639938298	7.247208957123708e-4	0.0021342649688202856	0.02164148665242126	1.022163471267533e-4	0.03665738769714035	0.03584741231766451	0.020878351369559314	-2.5252342614371974	3.198837144826398	2.4494108371876835	-0.9388007849238854	0.15538986721207246	0.034711595895881686	0.013312537033585509	0.0019056170062965606	0.01624554092813717	0.35034573393982293	0.8768619539465548	0.9723865850450615
Limbic_yeo_left	4.557657984384364	90	0.1819061355518613	-0.008172358783004256	0.05234874540291339	1.253330464652339e-4	-0.08455759334574062	-0.010126218623214467	-0.018122219331653113	0.002398561389926838	0.02432145729956249	1.1487429500054455e-4	0.041196850470979915	0.04028657189714568	0.023463819259532562	-3.407191834791243	2.152368781119669	1.091045185214323	-2.052525675604864	-0.25135468585084336	-0.772347380074992	9.831131891799099e-4	0.03404431028125121	0.2781653326855855	0.04302267509235593	0.8021129205407983	0.4419321924455978
Frontoparietal_left	2.9231231318311894	90	0.1072984388761885	-0.006127657403284359	0.029163124944084223	-9.7081939504561e-7	-0.05263625504885545	-0.047872072763960834	-0.02771327675539881	0.002078114777556805	0.021072122664110474	9.952714614877257e-5	0.03569297167547284	0.034904305867742166	0.020329064640969605	-2.948661676179655	1.3839671213453093	-0.009754317616968893	-1.474695229285869	-1.3715234144851798	-1.363234228669215	0.004065717954486746	0.16979107007289837	0.992238893514656	0.1437841333161144	0.17362156911086005	0.1762094003784106
Default_left	4.3118613302131745	90	0.1714936366611025	-0.007107960285660485	0.03848447659657317	5.288229707803199e-5	-0.057432258010931395	-0.03947914258687284	-0.024858520777098287	0.001954301796265307	0.019816656720958382	9.359737132728666e-5	0.03356640326740402	0.032824725752116264	0.019117869702533527	-3.637084251390383	1.9420267070515196	0.5649976738461573	-1.7110042310283289	-1.202725740498458	-1.3002767130379596	4.591939933242599e-4	0.05526115733837317	0.5734810137632795	0.09052503508682018	0.23223705392817348	0.19682612169211722
Visual_right	2.175478874111786	90	0.0684393653724299	-7.19273986563356e-4	0.08687935261273269	1.1721788833385672e-4	0.01545829509558805	-0.015624690295522761	0.0038070435396418702	0.002531700752910757	0.025671492927294797	1.2125073819846741e-4	0.04348360554495255	0.042522799221456714	0.024766249108734494	-0.2841070318979798	3.3842734763726825	0.966739585057127	0.35549708681833087	-0.36744265621249717	0.15371901990193632	0.776980969097718	0.0010587605192387082	0.3362648893024882	0.7230490671964168	0.7141514993973623	0.878175443056785
Somatomotor_right	3.649860769216626	90	0.14208474808511562	-0.0024969894351143107	0.0657682318779061	4.075678980954664e-4	-0.005291355499604987	-0.016644374364949976	-0.002249870820864906	0.0022052227746884754	0.022361000129433605	1.0561472915613401e-4	0.03787613412171687	0.03703922952933893	0.021572492924132984	-1.1323071137187273	2.941202607093406	3.8590062328611783	-0.13970157256812293	-0.44937150627730793	-0.10429350139445372	0.2605130944485722	0.004155981022427947	2.1382607964556515e-4	0.8892079423133237	0.6542440024070569	0.9171685027066729
DorsalAtt_right	2.864639644448878	90	0.10437600094711574	-0.004292698343246653	0.061966483797001634	1.9162505071377355e-4	-0.040030012307198715	-0.04127076587580728	-0.022706166792217028	0.002144909538589821	0.02174942278872748	1.0272614748166388e-4	0.03684021509983478	0.036026199997285936	0.02098248139608971	-2.0013423717948045	2.8491093487372123	1.8653970329022385	-1.0865846520906508	-1.145576438228746	-1.0821487870566415	0.04836747925473045	0.005433390803511961	0.06538373101091599	0.2801220481941667	0.25500747877876084	0.28207735172818843
